
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","291.00","2.40","0.30","0.00","0.00","0.00","243.60","0.00","0.00","0.80","85.11749999999999","49.98","26.60","Nov.19 13:32,2018","1.10","2994.00"
"'110B987CD123056","373.00","2.50","0.60","0.00","0.00","0.00","242.20","0.00","0.00","1.00","218.20499999999998","49.97","26.80","Nov.19 13:38,2018","1.10","2994.00"
"'110B987CD123056","367.10","2.50","0.50","0.00","0.00","0.00","238.90","0.00","0.00","0.90","178.96125","49.98","27.00","Nov.19 13:44,2018","1.10","2994.00"
"'110B987CD123056","343.00","2.40","0.20","0.00","0.00","0.00","239.90","0.00","0.00","0.70","66.885","50.00","26.80","Nov.19 13:49,2018","1.10","2994.00"
"'110B987CD123056","355.10","2.30","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.70","34.62225","50.00","26.70","Nov.19 13:54,2018","1.10","2994.00"
"'110B987CD123056","358.90","2.40","0.40","0.00","0.00","0.00","241.90","0.00","0.00","0.80","139.971","50.01","26.60","Nov.19 13:59,2018","1.10","2994.00"
"'110B987CD123056","367.10","2.40","0.30","0.00","0.00","0.00","240.90","0.00","0.00","0.80","107.37675","50.00","26.60","Nov.19 14:04,2018","1.10","2994.00"
"'110B987CD123056","363.10","2.40","0.40","0.00","0.00","0.00","238.90","0.00","0.00","0.80","141.609","49.99","26.60","Nov.19 14:09,2018","1.10","2994.00"
"'110B987CD123056","358.90","2.40","0.30","0.00","0.00","0.00","241.20","0.00","0.00","0.80","104.97824999999999","49.98","26.60","Nov.19 14:14,2018","1.10","2994.00"
"'110B987CD123056","350.80","2.40","0.30","0.00","0.00","0.00","239.30","0.00","0.00","0.80","102.609","50.00","26.60","Nov.19 14:19,2018","1.20","2994.00"
